"PK","SK","assessmentId","department","entityType","questions"
"CLIENT#sun.ac.in","ASSESSMENT#ASSESS_ALL_001#MCQ_BATCH_1","ASSESS_ALL_001","All Departments","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""sdhfjgk""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""fgh""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""xcvhb""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""xfcghj""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""cgvhjb""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""B""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#test.com","ASSESSMENT#ASSESS_CSE_001#MCQ_BATCH_1","ASSESS_CSE_001","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""test""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""test""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""test""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""test""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""test""}}}]},""subcategory"":{""S"":""Verbal""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#nandha.ac.in","ASSESSMENT#ASSESS_ALL_001#MCQ_BATCH_1","ASSESS_ALL_001","All Departments","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""Accc""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""hj""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""lkklk""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""uiyi""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""uyiu""}}}]},""subcategory"":{""S"":""Aptitude""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""B""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#nandha.ac.in","ASSESSMENT#ASSESS_ALL_002#MCQ_BATCH_1","ASSESS_ALL_002","All Departments","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""hfghdffjfcufctyu""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""cvb""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""hikli""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""cxfg""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""dtyui""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""C""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#nandha.ac.in","ASSESSMENT#ASSESS_ALL_003#MCQ_BATCH_1","ASSESS_ALL_003","All Departments","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""ghxfgg""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""ghj""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""kcgj""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""vhfgh""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""fh""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#nandha.ac.in","ASSESSMENT#ASSESS_CE_001#MCQ_BATCH_1","ASSESS_CE_001","Civil","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""What""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""A""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":"" B""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""C""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""D""}}}]},""subcategory"":{""S"":""Aptitude""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""C""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_ALL_001#MCQ_BATCH_1","ASSESS_ALL_001","All Departments","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""What’s an app developer’s favourite button?\n\n""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""Save ""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":"" Run ""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""Hot Reload""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":"" Exit""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""C""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}},{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_002""},""question"":{""S"":""Why do apps crash in demo?\n\n""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""No internet ""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":"" Code angry ""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":"" Developer confidence too high ""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""D) App shy in front of crowd""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""C""}]},""questionNumber"":{""N"":""2""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_ALL_002#MCQ_BATCH_1","ASSESS_ALL_002","All Departments","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""cfvgy""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""hguy""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""tcyv""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""yuggyu""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""yuvu""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_ALL_003#MCQ_BATCH_1","ASSESS_ALL_003","All Departments","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""asdfghj""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""de""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""ed""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""rf""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""fr""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""B""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_ALL_004#MCQ_BATCH_1","ASSESS_ALL_004","All Departments","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""otits""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""tyut""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""fgrf""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""fegfrdfgfg""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""errrertre""}}}]},""subcategory"":{""S"":""Aptitude""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""C""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
